GeneFusion	Publication	Diagnosis_MM
CCDC85C::SETD3	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
TBC1D31::ZNF704	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
CYTH1::EIF3H	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
DHX35::ITCH	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
BSG::NFIX	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
PPP1R12A::SEPTIN10	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
NOTCH1::NUP214	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
RPS6KB1::VMP1	Identification of fusion genes in breast cancer by paired-end RNA-sequencing., Edgren et al 2011, Genome Biol, 2011, 12:R6, 21247443	Adenocarcinoma
WDCP::ALK	Identification of new ALK and RET gene fusions from colorectal and lung cancer biopsies., Lipson et al 2012, Nat Med, 2012, 18:382-384, 22327622	Adenocarcinoma
KIF5B::RET	Identification of new ALK and RET gene fusions from colorectal and lung cancer biopsies., Lipson et al 2012, Nat Med, 2012, 18:382-384, 22327622	Adenocarcinoma
ALK::PTPN3	Discovery of ALK-PTPN3 gene fusion from human non-small cell lung carcinoma cell line using next generation RNA sequencing., Jung et al 2012, Genes Chromosomes Cancer, 2012, 51:590-597, 22334442	Adenocarcinoma
NFIA::EHF	Identification of gene fusion transcripts by transcriptome sequencing in BRCA1-mutated breast cancers and cell lines., Ha et al 2011, BMC Med Genomics, 2011, 4:75, 22032724	Adenocarcinoma
MTAP::PCDH7	Identification of gene fusion transcripts by transcriptome sequencing in BRCA1-mutated breast cancers and cell lines., Ha et al 2011, BMC Med Genomics, 2011, 4:75, 22032724	Adenocarcinoma
WWC1::GRK3	Identification of gene fusion transcripts by transcriptome sequencing in BRCA1-mutated breast cancers and cell lines., Ha et al 2011, BMC Med Genomics, 2011, 4:75, 22032724	Adenocarcinoma
ADNP::MROH8	Identification of gene fusion transcripts by transcriptome sequencing in BRCA1-mutated breast cancers and cell lines., Ha et al 2011, BMC Med Genomics, 2011, 4:75, 22032724	Adenocarcinoma
AATK::USP32	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ACTB::NOL4L	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ACTG1::PPP1R12C	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ADCY9::CDIP1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
AEBP1::THRA	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ANP32E::KAT6B	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
APOL1::ACTB	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
APOOL::DCAF8	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PRRC2C::COL3A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
NDUFAF7::SAMD4B	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CALR::ACACA	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CAPN1::ARL2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CD68::PSAP	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CD74::MBD6	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CDK4::UBA1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CIRBP::UGP2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
COL1A1::BASP1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
COL1A1::FGD2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
COL1A1::FMNL3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
COL1A1::GORASP2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
COL1A2::LAMP2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
COL3A1::COL16A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
COL3A1::ZNF43	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CTSD::PRKAR1B	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CWC25::ROBO2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
CYB5R3::TXNIP	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
DCLK1::COL3A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
DIDO1::REPS1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
DNAJA2::COL14A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
DNM2::PIN1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
EIF4G1::ABCC5	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ELAC1::SMAD4	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ELF3::SLC39A6	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
EPHA2::CTSD	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
EPN1::COL1A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
FLNA::ABCA2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
FTL::ADD3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GAPDH::KRT13	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GAPDH::MRPS18B	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GEMIN7::SLC39A14	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GLI3::FAM3B	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GNB1::TRH	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GNB2::CTSD	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GOLPH3L::CTSS	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GPAA1::CD24	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
GPATCH8::VXN	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
H1-0::ACTB	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
HEATR5A::COL1A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
HMGN3::PAQR8	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
HNRNPH1::VAPA	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
HSP90AB1::PCGF2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
IFI27::CPNE3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
IGFBP5::AMD1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ITGA3::KHK	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
ITGAV::ANKHD1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
JOSD1::RPS19BP1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
KCTD3::TXNDC16	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
KRT18::PLEC	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
KRT81::EMP2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
LGMN::NAP1L1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
LTBP4::CTSD	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
MAF::IGFBP7	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
MGP::REPS2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
MRPL52::USP22	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
MTF2::ARL3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
NAV2::WDFY1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
NCOR2::ELN	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
NDUFS6::ACTB	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
NPLOC4::PDE6G	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
NTN1::HDLBP	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
OGT::ACTB	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
OLA1::ORMDL3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PACSIN3::CTSD	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PCNX1::MKKS	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PDHX::CAT	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PIKFYVE::TMEM119	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PLEC::PLEKHM2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PLXNA1::CTSD	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
POLD3::COL3A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
POSTN::TM9SF3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
POSTN::TRIM33	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
PROM1::TAPT1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RAB3IP::IGFBP5	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RAB8A::EIF4G2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RALGPS2::LAMB3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RBM6::SLC38A3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RHOB::GATA3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RHOBTB3::CRNKL1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RPL19::RPS16	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RPL23::MUCL1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RPL8::KRT4	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
RPS15::PLEC	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SBF1::FLNA	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SEMA4C::PKM	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SERPINA1::KIAA1217	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SFI1::YPEL1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SFTPC::IGLL5	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SLC16A3::MRPL4	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SLC34A2::ACTB	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SLC39A6::LRIG1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SPARC::TRPS1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
SPATS2L::COL3A1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
STC2::RNF11	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TEP1::RNASE1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TES::HNRNPU	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TFG::ADGRG7	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
THSD4::PAQR5	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TMEM109::CTSD	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TMEM119::ARIH2	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TMSB10::RPS16	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TNRC18::NHERF1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TSPAN14::HLA-E	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
UBR2::SRPK1	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
USF2::IRX3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
VPS35::DCN	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
YWHAG::CYB561	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
YWHAG::PDIA3	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
YWHAZ::ZBTB33	Detection of redundant fusion transcripts as biomarkers or disease-specific therapeutic targets in breast cancer., Asmann et al 2012, Cancer Res, 2012, 72:1921-1928, 22496456	Adenocarcinoma
TPM3::ROS1	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
SDC4::ROS1	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
SLC34A2::ROS1	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
CD74::ROS1	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
EZR::ROS1	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
LRIG3::ROS1	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
KIF5B::RET	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
CCDC6::RET	RET, ROS1 and ALK fusions in lung cancer., Takeuchi et al 2012, Nat Med, 2012, 18:378-381, 22327623	Adenocarcinoma
KIF5B::RET	KIF5B-RET fusions in lung adenocarcinoma., Kohno et al 2012, Nat Med, 2012, 18:375-377, 22327624	Adenocarcinoma
UBR4::GLB1	A transcriptional sketch of a primary human breast cancer by 454 deep sequencing., Guffanti et al 2009, BMC Genomics, 2009, 10:163, 19379481	Adenocarcinoma
KIF5B::RET	A transforming KIF5B and RET gene fusion in lung adenocarcinoma revealed from whole-genome and transcriptome sequencing., Ju et al 2012, Genome Res, 2012, 22:436-445, 22194472	Adenocarcinoma
KLC1::ALK	KLC1-ALK: a novel fusion in lung cancer identified using a formalin-fixed paraffin-embedded tissue only., Togashi et al 2012, PLoS One, 2012, 7:e31323, 22347464	Adenocarcinoma
VTI1A::TCF7L2	Comprehensive molecular characterization of human colon and rectal cancer., The Cancer Genome 2012, Nature, 2012, 487:330-337, 22810696	Adenocarcinoma
NAV2::TCF7L1	Comprehensive molecular characterization of human colon and rectal cancer., The Cancer Genome 2012, Nature, 2012, 487:330-337, 22810696	Adenocarcinoma
TTC28::HS6ST2	Comprehensive molecular characterization of human colon and rectal cancer., The Cancer Genome 2012, Nature, 2012, 487:330-337, 22810696	Adenocarcinoma
TTC28::CD99L2	Comprehensive molecular characterization of human colon and rectal cancer., The Cancer Genome 2012, Nature, 2012, 487:330-337, 22810696	Adenocarcinoma
