GeneFusion	Publication	Diagnosis_MM
KMT2A::AFF1	Myeloperoxidase gene expression in non-infant pro-B acute lymphoblastic leukaemia with or without ALL1/AF4 transcript., Serrano et al 2000, Br J Haematol, 2000, 111:1065-1070, 11167741	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	TEL/AML1 fusion is not a prognostic factor in Dutch childhood acute lymphoblastic leukaemia., Hubeek et al 2001, Br J Haematol, 2001, 113:254-255, 11328310	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Relapse of TEL-AML1-positive acute lymphoblastic leukemia in childhood: a matched-pair analysis., Seeger et al 2001, J Clin Oncol, 2001, 19:3188-3193, 11432885	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	TEL/AML1 rearrangement and the prognostic significance in childhood acute lymphoblastic leukemia in Hong Kong., Tsang et al 2001, Am J Hematol, 2001, 68:91-98, 11559948	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Fluorescence in situ hybridization study of TEL/AML1 fusion and other abnormalities involving TEL and AML1 genes. Correlation with cytogenetic findings and prognostic value in children with acute lymphoblastic leukemia., Martinez-Ramirez et al 2001, Haematologica, 2001, 86:1245-1253, 11726315	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Outcome of treatment in adults with Philadelphia chromosome-positive acute lymphoblastic leukemia - results of the prospective multicenter LALA-94 trial., Dombret et al 2002, Blood, 2002, 100:2357-2366, 12239143	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Additional chromosomal abnormalities and variability of BCR breakpoints in Philadelphia chromosome/BCR-ABL-positive acute lymphoblastic leukemia in Taiwan., Ko et al 2002, Am J Hematol, 2002, 71:291-299, 12447959	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Additional chromosomal abnormalities and variability of BCR breakpoints in Philadelphia chromosome/BCR-ABL-positive acute lymphoblastic leukemia in Taiwan., Ko et al 2002, Am J Hematol, 2002, 71:291-299, 12447959	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TCF3::PBX1	E2A-PBX1 fusion in adult acute lymphoblastic leukaemia: biological and clinical features., Foa et al 2003, Br J Haematol, 2003, 120:484-487, 12580965	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Prognostic significance of the TEL-AML1 fusion gene in pediatric acute lymphoblastic leukemia in Turkey., Ozbek et al 2003, J Pediatr Hematol Oncol, 2003, 25:204-208, 12621238	Acute lymphoblastic leukemia/lymphoblastic lymphoma
